-6.388850975781679153e-03,-1.737451367080211639e-02,8.131690621376037598e-01,-1.060475036501884460e-01,3.821098059415817261e-02,7.719103693962097168e-01,6.256582736968994141e-01,-7.038502097129821777e-01,2.306341081857681274e-01,1.207058429718017578e-01,3.261718153953552246e-01,3.534287214279174805e-02,-7.594266533851623535e-02,-4.417099356651306152e-01,-1.056249812245368958e-02,-9.602686762809753418e-02,5.461509227752685547e-01,-2.605306804180145264e-01,-2.782678045332431793e-02,1.648613512516021729e-01,1.547172851860523224e-02,5.199999809265136719e-01,-6.066086888313293457e-01,6.210991144180297852e-01,-1.794840209186077118e-02,1.807072460651397705e-01,-1.248477026820182800e-01,-1.695787906646728516e-01,5.576515197753906250e-01,-3.889082074165344238e-01,-4.888761043548583984e-01,4.292429983615875244e-01,8.475165367126464844e-01,2.052977383136749268e-01,-3.959595412015914917e-02,-1.400509476661682129e-01
-1.408594008535146713e-02,-2.588371746242046356e-02,8.090981245040893555e-01,-1.237700432538986206e-01,7.305994629859924316e-02,7.967863678932189941e-01,5.869196653366088867e-01,-7.660368680953979492e-01,1.497947573661804199e-01,8.587060868740081787e-02,4.265311360359191895e-01,-1.460299082100391388e-02,-6.341622769832611084e-02,-5.735017657279968262e-01,-6.551049649715423584e-02,-5.561117082834243774e-02,5.830300450325012207e-01,-2.442591935396194458e-01,-1.938081550179049373e-04,5.666341260075569153e-02,-1.763566210865974426e-02,5.199999809265136719e-01,-7.572069764137268066e-01,5.760365128517150879e-01,-9.371851384639739990e-02,3.922801017761230469e-01,-1.592447161674499512e-01,-2.356318384408950806e-01,5.735039710998535156e-01,-5.646368861198425293e-01,-4.421127736568450928e-01,4.738266468048095703e-01,1.023622632026672363e+00,2.694443762302398682e-01,-1.412930637598037720e-01,-1.205993443727493286e-01
-2.399280481040477753e-02,-3.345851600170135498e-02,8.019108176231384277e-01,-1.202358305454254150e-01,8.684921264648437500e-02,8.166198730468750000e-01,5.577926039695739746e-01,-7.417110204696655273e-01,1.047406718134880066e-01,8.387771248817443848e-02,5.382819175720214844e-01,-1.204927787184715271e-01,-3.915583342313766479e-02,-6.603100299835205078e-01,-1.073039770126342773e-01,-1.110014505684375763e-02,6.147410869598388672e-01,-2.274026572704315186e-01,1.845791563391685486e-02,-3.287643194198608398e-02,-1.485590357333421707e-02,5.199999809265136719e-01,-7.717620134353637695e-01,4.519633650779724121e-01,-1.617926508188247681e-01,5.314202904701232910e-01,-1.830841451883316040e-01,-2.214756011962890625e-01,5.429823398590087891e-01,-6.186782717704772949e-01,-4.161483645439147949e-01,4.843386709690093994e-01,1.058524608612060547e+00,2.714840769767761230e-01,-1.421172618865966797e-01,-1.267369836568832397e-01
-3.599942475557327271e-02,-3.703026100993156433e-02,7.864575982093811035e-01,-1.169335618615150452e-01,9.368118643760681152e-02,8.339154720306396484e-01,5.311641693115234375e-01,-7.165535688400268555e-01,8.147723972797393799e-02,9.539949148893356323e-02,6.434424519538879395e-01,-2.525770962238311768e-01,9.563355706632137299e-03,-7.545852065086364746e-01,-1.419005393981933594e-01,3.688890114426612854e-02,6.880066990852355957e-01,-2.494573742151260376e-01,3.291764482855796814e-02,-1.300774067640304565e-01,7.598999887704849243e-03,5.199999809265136719e-01,-7.763217091560363770e-01,2.841776013374328613e-01,-2.825147509574890137e-01,8.369128108024597168e-01,-2.054257541894912720e-01,-1.621750593185424805e-01,4.528263807296752930e-01,-6.773620843887329102e-01,-3.915750384330749512e-01,4.994741976261138916e-01,1.083953619003295898e+00,2.634678483009338379e-01,-1.237900480628013611e-01,-1.377311050891876221e-01
-4.794653877615928650e-02,-3.772367909550666809e-02,7.670853137969970703e-01,-1.193361505866050720e-01,8.968576043844223022e-02,8.424189090728759766e-01,5.177313089370727539e-01,-7.006151676177978516e-01,6.125907599925994873e-02,5.867392197251319885e-02,7.503489255905151367e-01,-4.265534281730651855e-01,5.921535193920135498e-02,-8.639609217643737793e-01,-1.444002240896224976e-01,1.033329442143440247e-01,8.434768319129943848e-01,-3.136630952358245850e-01,2.729146368801593781e-02,-2.128183394670486450e-01,4.196508228778839111e-02,5.199999809265136719e-01,-8.300513625144958496e-01,1.011883616447448730e-01,-4.244473874568939209e-01,1.125318884849548340e+00,-1.633485257625579834e-01,-1.028483808040618896e-01,3.223645091056823730e-01,-7.370506525039672852e-01,-4.036755561828613281e-01,5.058901309967041016e-01,1.128444075584411621e+00,2.995216548442840576e-01,-1.101194173097610474e-01,-1.015623956918716431e-01
-5.741507187485694885e-02,-3.629373013973236084e-02,7.489014863967895508e-01,-1.216295063495635986e-01,8.520594984292984009e-02,8.506941199302673340e-01,5.042476058006286621e-01,-7.051405310630798340e-01,5.675857886672019958e-02,3.720883652567863464e-02,8.282350897789001465e-01,-5.275871753692626953e-01,8.234348148107528687e-02,-9.432326555252075195e-01,-1.614912897348403931e-01,1.344056874513626099e-01,9.307196736335754395e-01,-3.311200439929962158e-01,2.963765338063240051e-02,-2.441243976354598999e-01,7.274133712053298950e-02,5.199999809265136719e-01,-8.448935151100158691e-01,1.237435359507799149e-02,-4.967520236968994141e-01,1.189564228057861328e+00,-1.270025521516799927e-01,-8.681588619947433472e-02,2.698318958282470703e-01,-7.420683503150939941e-01,-4.374332427978515625e-01,4.719763398170471191e-01,1.178106069564819336e+00,3.602270781993865967e-01,-9.960947185754776001e-02,-9.865783900022506714e-02
-6.255847960710525513e-02,-3.158547356724739075e-02,7.385068535804748535e-01,-1.227451935410499573e-01,8.042404800653457642e-02,8.598157763481140137e-01,4.890628457069396973e-01,-7.334676980972290039e-01,5.638126656413078308e-02,1.933510601520538330e-02,9.135259985923767090e-01,-5.902198553085327148e-01,8.467774838209152222e-02,-1.010026335716247559e+00,-1.859543621540069580e-01,1.611618697643280029e-01,9.589422345161437988e-01,-3.367458581924438477e-01,3.567818179726600647e-02,-2.363068014383316040e-01,1.215337291359901428e-01,5.199999809265136719e-01,-8.417964577674865723e-01,-6.040587276220321655e-02,-5.430690646171569824e-01,1.109099149703979492e+00,-7.954128831624984741e-02,-1.010605767369270325e-01,2.637115120887756348e-01,-6.885346174240112305e-01,-5.337663888931274414e-01,3.708437383174896240e-01,1.235347270965576172e+00,4.262289404869079590e-01,-9.966357052326202393e-02,-1.087989732623100281e-01
-6.325011700391769409e-02,-2.398507483303546906e-02,7.289333343505859375e-01,-1.281460970640182495e-01,8.091689646244049072e-02,8.634874224662780762e-01,4.810618460178375244e-01,-7.640327215194702148e-01,6.012380123138427734e-02,-2.755016088485717773e-03,9.753470420837402344e-01,-6.266708374023437500e-01,8.002921938896179199e-02,-1.061842918395996094e+00,-1.891689449548721313e-01,1.769599467515945435e-01,9.809969663619995117e-01,-3.196007907390594482e-01,4.681801050901412964e-02,-2.143085151910781860e-01,1.506857126951217651e-01,5.199999809265136719e-01,-8.196984529495239258e-01,-6.850393116474151611e-02,-5.608047246932983398e-01,9.801650643348693848e-01,-5.675335973501205444e-02,-1.180985867977142334e-01,2.841073572635650635e-01,-6.220648884773254395e-01,-6.216236352920532227e-01,2.654109299182891846e-01,1.255005359649658203e+00,4.964417815208435059e-01,-1.088375821709632874e-01,-1.280263364315032959e-01
-6.158542260527610779e-02,-1.519935391843318939e-02,7.179516553878784180e-01,-1.270038932561874390e-01,7.926141470670700073e-02,8.659709095954895020e-01,4.771603941917419434e-01,-7.902472019195556641e-01,7.498878240585327148e-02,-1.727033406496047974e-02,1.029743909835815430e+00,-6.075080037117004395e-01,6.160765886306762695e-02,-1.117413163185119629e+00,-2.034771442413330078e-01,1.567181795835494995e-01,1.002281427383422852e+00,-2.961737513542175293e-01,5.524993315339088440e-02,-1.810626536607742310e-01,1.722456067800521851e-01,5.199999809265136719e-01,-7.568466663360595703e-01,-1.122032664716243744e-02,-5.157492756843566895e-01,7.064225077629089355e-01,-5.292045697569847107e-02,-1.615197509527206421e-01,3.530857861042022705e-01,-4.882001578807830811e-01,-7.352159023284912109e-01,8.476956188678741455e-02,1.224529385566711426e+00,6.150155663490295410e-01,-1.268238276243209839e-01,-1.567950993776321411e-01
-5.927953869104385376e-02,-3.913340158760547638e-03,7.094448804855346680e-01,-1.334587037563323975e-01,8.445549011230468750e-02,8.640007376670837402e-01,4.780781865119934082e-01,-8.118346929550170898e-01,7.912799715995788574e-02,-3.551585599780082703e-02,1.063598036766052246e+00,-5.956225395202636719e-01,5.834418535232543945e-02,-1.172537326812744141e+00,-1.962331086397171021e-01,1.350373476743698120e-01,1.033644676208496094e+00,-2.681151628494262695e-01,5.499372631311416626e-02,-1.599363088607788086e-01,1.775953918695449829e-01,5.199999809265136719e-01,-6.698704361915588379e-01,6.796532124280929565e-02,-4.307941496372222900e-01,4.599624872207641602e-01,-6.676312536001205444e-02,-1.915892809629440308e-01,4.302605986595153809e-01,-3.348403573036193848e-01,-8.374326825141906738e-01,-9.047344326972961426e-02,1.104108452796936035e+00,7.104923129081726074e-01,-1.763793826103210449e-01,-2.169413417577743530e-01
