bvh_file,bvh_name,contact_ground,foot_ground_limit,fix_robot_penetration,mode,frames,all_max_penetration,all_penetration_frame_ratio,all_mean_penetration,all_p95_penetration,total_root_lift,max_root_lift,frames_with_lift,mean_lift_when_active,total_foot_slip,mean_xy_slip_per_contact_step,mean_xy_slip_per_contact_foot_frame,left_total_foot_slip,right_total_foot_slip,left_mean_xy_slip_per_contact_step,right_mean_xy_slip_per_contact_step,left_contact_step_count,right_contact_step_count,left_contact_frame_count,right_contact_frame_count,max_xy_slip_step,contact_step_count,contact_foot_frame_count,mean_error1,max_error1,mean_error2,max_error2,foot_max_penetration,foot_mean_penetration,foot_p95_penetration,foot_penetration_frame_ratio,leg_max_penetration,leg_mean_penetration,leg_p95_penetration,leg_penetration_frame_ratio,trunk_max_penetration,trunk_mean_penetration,trunk_p95_penetration,trunk_penetration_frame_ratio,arm_max_penetration,arm_mean_penetration,arm_p95_penetration,arm_penetration_frame_ratio
/data2/Documents/lafan1/aiming1_subject1.bvh,aiming1_subject1,False,False,False,contact_ground0_foot_ground_limit0_fix_robot_penetration0,500,0.009698648007994073,0.106,0.0003411512604284218,0.0026901846453923485,0.0,0.0,0,0.0,1.7544214119175676,0.004070583322314542,0.004014694306447523,1.7544214119175676,0.0,0.004070583322314542,0.0,431,0,437,0,0.029579000582163055,431,437,0.6991248528465048,0.8105293791109935,0.6991248528465048,0.8105293791109935,0.009698648007994073,0.0003411512604284218,0.0026901846453923485,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject1.bvh,aiming1_subject1,False,False,True,contact_ground0_foot_ground_limit0_fix_robot_penetration1,500,1.5092094240998222e-16,0.0,2.2516710718178957e-18,5.204170427930421e-18,0.16877798032826025,0.009700747320962383,53,0.003184490194872836,1.7544778596213693,0.0040707142914648935,0.004014823477394438,1.7544778596213693,0.0,0.0040707142914648935,0.0,431,0,437,0,0.02957900058216712,431,437,0.6985397020678459,0.8105293791109935,0.6985397020678459,0.8105293791109935,1.5092094240998222e-16,2.2516710718178957e-18,5.204170427930421e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject1.bvh,aiming1_subject1,False,True,False,contact_ground0_foot_ground_limit1_fix_robot_penetration0,500,0.009224466243250592,0.106,0.00030406617514677694,0.002232479828486789,0.0,0.0,0,0.0,1.7544269424837846,0.004070596154254721,0.004014706962205457,1.7544269424837846,0.0,0.004070596154254721,0.0,431,0,437,0,0.02957900058216363,431,437,0.6991328994820741,0.8111919324245686,0.6991328994820741,0.8111919324245686,0.009224466243250592,0.00030406617514677694,0.002232479828486789,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject1.bvh,aiming1_subject1,False,True,True,contact_ground0_foot_ground_limit1_fix_robot_penetration1,500,1.6479873021779667e-16,0.0,2.366162821232365e-18,5.204170427930421e-18,0.15095942428024817,0.0092257559478077,53,0.0028482910241556265,1.7544243177894472,0.0040705900644766755,0.004014700956039925,1.7544243177894472,0.0,0.0040705900644766755,0.0,431,0,437,0,0.029579000582162715,431,437,0.6986072349736533,0.8111919324245686,0.6986072349736533,0.8111919324245686,1.6479873021779667e-16,2.366162821232365e-18,5.204170427930421e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject1.bvh,aiming1_subject1,True,False,False,contact_ground1_foot_ground_limit0_fix_robot_penetration0,500,0.07601768682237955,1.0,0.037546088379002446,0.051892005104237596,0.0,0.0,0,0.0,1.6201167600527226,0.0037589716010504007,0.0037073610069856353,1.6201167600527226,0.0,0.0037589716010504007,0.0,431,0,437,0,0.05528863369215914,431,437,0.7013582967120049,0.8105475054188259,0.7013582967120049,0.8105475054188259,0.07601768682237955,0.037546088379002446,0.051892005104237596,1.0,0.009716252849481457,0.0005419783142600931,0.003526964800975235,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject1.bvh,aiming1_subject1,True,False,True,contact_ground1_foot_ground_limit0_fix_robot_penetration1,500,2.2724877535296173e-16,0.0,1.9637069748057457e-17,9.21138165743683e-17,18.518827110913264,0.0763129028418366,500,0.037037654221826526,1.6225166674267046,0.003764539831616484,0.003712852785873466,1.6225166674267046,0.0,0.003764539831616484,0.0,431,0,437,0,0.05411808630634465,431,437,0.6487271109871487,0.7946770407791289,0.6487271109871487,0.7946770407791289,2.2724877535296173e-16,1.9637069748057457e-17,9.21138165743683e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject1.bvh,aiming1_subject1,True,True,False,contact_ground1_foot_ground_limit1_fix_robot_penetration0,500,0.013265835857975269,0.588,0.0011365772139818179,0.007624900691850035,0.0,0.0,0,0.0,1.7477934303129121,0.004055205174739935,0.003999527300487213,1.7477934303129121,0.0,0.004055205174739935,0.0,431,0,437,0,0.05323437576515349,431,437,0.6926551743838019,0.8107935701313446,0.6926551743838019,0.8107935701313446,0.013265835857975269,0.0011365772139818179,0.007624900691850035,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject1.bvh,aiming1_subject1,True,True,True,contact_ground1_foot_ground_limit1_fix_robot_penetration1,500,1.5785983631388945e-16,0.0,1.3489209749195652e-17,6.435824095873939e-17,0.5687074537035904,0.013265928813941485,293,0.0019409810706607182,1.7490303902288031,0.004058075151342931,0.0040023578723771235,1.7490303902288031,0.0,0.004058075151342931,0.0,431,0,437,0,0.05323515257538616,431,437,0.6911700381161818,0.8089260318462324,0.6911700381161818,0.8089260318462324,1.5785983631388945e-16,1.3489209749195652e-17,6.435824095873939e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject4.bvh,aiming1_subject4,False,False,False,contact_ground0_foot_ground_limit0_fix_robot_penetration0,500,0.0058910067110921425,0.06,0.00011453329951866734,0.00047247086944291215,0.0,0.0,0,0.0,4.86327642789501,0.016485682806423763,0.015893060221879116,4.86327642789501,0.0,0.016485682806423763,0.0,295,0,306,0,0.05613699662936775,295,306,0.6310651266856291,0.8159321209015364,0.6310651266856291,0.8159321209015364,0.0058910067110921425,0.00011453329951866734,0.00047247086944291215,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject4.bvh,aiming1_subject4,False,False,True,contact_ground0_foot_ground_limit0_fix_robot_penetration1,500,1.3357370765021415e-16,0.0,9.26342336171615e-19,0.0,0.05730726348313314,0.005891517915141533,30,0.001910242116104438,4.863278303771299,0.016485689165326438,0.01589306635219379,4.863278303771299,0.0,0.016485689165326438,0.0,295,0,306,0,0.056136996157497766,295,306,0.630861015477523,0.8159321209015364,0.630861015477523,0.8159321209015364,1.3357370765021415e-16,9.26342336171615e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject4.bvh,aiming1_subject4,False,True,False,contact_ground0_foot_ground_limit1_fix_robot_penetration0,500,0.0007930400234627388,0.01,3.816875622837026e-06,0.0,0.0,0.0,0,0.0,4.863336430693416,0.016485886205740395,0.01589325630945561,4.863336430693416,0.0,0.016485886205740395,0.0,295,0,306,0,0.05613691299922811,295,306,0.6309750238584324,0.8159321209015343,0.6309750238584324,0.8159321209015343,0.0007930400234627388,3.816875622837026e-06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/data2/Documents/lafan1/aiming1_subject4.bvh,aiming1_subject4,False,True,True,contact_ground0_foot_ground_limit1_fix_robot_penetration1,500,3.9898639947466563e-17,0.0,1.5959455978986625e-19,0.0,0.0019085905185368419,0.0007930400234627388,5,0.0003817181037073684,4.863336434554292,0.01648588621882811,0.015893256322072852,4.863336434554292,0.0,0.01648588621882811,0.0,295,0,306,0,0.05613691299912399,295,306,0.6309677808134162,0.8159321209015343,0.6309677808134162,0.8159321209015343,3.9898639947466563e-17,1.5959455978986625e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
